Job_Role,Sum of Salary,Sum of Bonus,Sum of TS,Sum of Tax,Sum of Calculated_Tax,Sum of Bonus_To_TS,,
Accountant,480000,30000,510000,5,10500,5.88%,,
Area Sales Executive,720000,68000,788000,10,28800,8.63%,,
Backend Developer,820000,55000,875000,10,37500,6.29%,,
Brand Manager,870000,78000,948000,10,44800,8.23%,,
Cloud Engineer,830000,60000,890000,10,39000,6.74%,,
Content Strategist,520000,25000,545000,5,12250,4.59%,,
Data Analyst,3000000,50000,3050000,30,605000,1.64%,,
Data Engineer,600000,25000,625000,5,16250,4.00%,,
DevOps Engineer,750000,40000,790000,10,29000,5.06%,,
Digital Marketer,750000,65000,815000,10,31500,7.98%,,
Finance Manager,1150000,120000,1270000,20,94000,9.45%,,
Financial Analyst,820000,75000,895000,10,39500,8.38%,,
Frontend Developer,760000,48000,808000,10,30800,5.94%,,
HR Business Partner,880000,72000,952000,10,45200,7.56%,,
HR Executive,300000,10000,310000,5,500,3.23%,,
HR Manager,850000,70000,920000,10,42000,7.61%,,
Junior Accountant,470000,20000,490000,5,9500,4.08%,,
Logistics Head,1020000,95000,1115000,15,67250,8.52%,,
Marketing Analyst,540000,35000,575000,5,13750,6.09%,,
Marketing Manager,910000,88000,998000,10,49800,8.82%,,
Operations Head,1200000,130000,1330000,20,106000,9.77%,,
Operations Manager,950000,80000,1030000,15,54500,7.77%,,
Plant Supervisor,980000,90000,1070000,15,60500,8.41%,,
Project Manager,1050000,95000,1145000,15,71750,8.30%,,
QA Engineer,610000,32000,642000,5,17100,4.98%,,
Regional Sales Manager,930000,110000,1040000,15,56000,10.58%,,
Sales Coordinator,580000,42000,622000,5,16100,6.75%,,
Sales Executive,1400000,162000,1562000,30,158600,10.37%,,
Sales Manager,880000,100000,980000,10,48000,10.20%,,
Senior Accountant,910000,88000,998000,10,49800,8.82%,,
SEO Specialist,690000,50000,740000,10,24000,6.76%,,
Social Media Executive,320000,15000,335000,5,1750,4.48%,,
Software Engineer,780000,60000,840000,10,34000,7.14%,,
Supply Chain Manager,990000,85000,1075000,15,61250,7.91%,,
Support Engineer,500000,20000,520000,5,11000,3.85%,,
