Order_ID,Order_Date,Region,Salesperson,Product,Category,Quantity,Unit_Price,Total_Sales,Payment_Mode
1001,15-01-2025,North,Priya,Printer,Electronics,1,15000,15000,Cash
1002,03-06-2025,West,Rahul,Mobile,Electronics,8,20000,160000,Credit Card
1003,25-06-2025,East,Priya,Headphones,Electronics,9,1500,13500,Credit Card
1004,16-03-2025,West,Neha,Chair,Furniture,6,2500,15000,Cash
1005,29-04-2025,South,Simran,Laptop,Electronics,10,55000,550000,UPI
1006,19-02-2025,West,Priya,Laptop,Electronics,10,55000,550000,Cash
1007,02-01-2025,West,Karan,Printer,Electronics,3,15000,45000,Cash
1008,27-02-2025,East,Rahul,Washing Machine,Appliances,2,35000,70000,UPI
1009,15-03-2025,East,Karan,Refrigerator,Appliances,7,45000,315000,UPI
1010,18-05-2025,East,Rahul,Washing Machine,Appliances,3,35000,105000,UPI
1011,27-03-2025,East,Simran,Laptop,Electronics,10,55000,550000,Credit Card
1012,23-01-2025,South,Rahul,Laptop,Electronics,1,55000,55000,Credit Card
1013,07-02-2025,South,Simran,Mobile,Electronics,1,20000,20000,UPI
1014,28-05-2025,South,Simran,Printer,Electronics,7,15000,105000,UPI
1015,11-02-2025,East,Amit,Washing Machine,Appliances,7,35000,245000,Credit Card
1016,29-05-2025,West,Karan,Microwave,Appliances,1,12000,12000,UPI
1017,29-03-2025,West,Simran,Microwave,Appliances,5,12000,60000,Credit Card
1018,19-04-2025,South,Karan,Mobile,Electronics,4,20000,80000,Cash
1019,11-06-2025,North,Amit,Sofa,Furniture,6,30000,180000,Cash
1020,11-03-2025,East,Simran,Microwave,Appliances,1,12000,12000,Cash
1021,29-06-2025,West,Priya,Table,Furniture,2,7000,14000,Cash
1022,27-04-2025,South,Rahul,Table,Furniture,2,7000,14000,Cash
1023,12-04-2025,North,Simran,Refrigerator,Appliances,1,45000,45000,UPI
1024,04-04-2025,North,Neha,Printer,Electronics,1,15000,15000,Cash
1025,16-05-2025,North,Priya,Chair,Furniture,3,2500,7500,Credit Card
1026,07-06-2025,West,Amit,Printer,Electronics,1,15000,15000,Credit Card
1027,25-06-2025,East,Amit,Headphones,Electronics,3,1500,4500,Credit Card
1028,24-06-2025,West,Karan,Laptop,Electronics,6,55000,330000,Credit Card
1029,08-06-2025,North,Priya,Mobile,Electronics,8,20000,160000,Credit Card
1030,01-03-2025,South,Amit,Refrigerator,Appliances,4,45000,180000,UPI
1031,21-05-2025,North,Karan,Printer,Electronics,5,15000,75000,Credit Card
