OrderID,OrderDate,Region,Product,Category,Quantity,UnitPrice,Sales,Profit,Salesperson,Channel
ORD00001,16-03-2025,North,Cabinet,Furniture,6,878,5268,826,Simran,Online
ORD00002,22-01-2025,West,Pen,Stationery,11,8992,98912,12550,Amit,Offline
ORD00003,14-08-2025,East,Printer,Electronics,14,24422,341908,43585,Riya,Offline
ORD00004,31-07-2025,East,Chair,Furniture,9,6338,57042,4864,Arjun,Online
ORD00005,06-06-2025,North,Printer,Electronics,13,8089,105157,16586,Amit,Online
ORD00006,14-12-2025,South,Laptop,Electronics,7,26092,182644,33926,Simran,Online
ORD00007,02-03-2025,West,Chair,Furniture,3,61749,185247,30629,Riya,Online
ORD00008,11-08-2025,East,Cabinet,Furniture,7,8826,61782,11599,Riya,Offline
ORD00009,04-08-2025,North,Cabinet,Furniture,15,41616,624240,83271,Riya,Offline
ORD00010,22-01-2025,West,Marker,Stationery,7,26360,184520,35341,Amit,Online
ORD00011,17-08-2025,South,Tablet,Electronics,3,32571,97713,20922,Neha,Offline
ORD00012,24-06-2025,East,Marker,Stationery,7,10958,76706,13810,Amit,Online
ORD00013,17-08-2025,West,Desk,Furniture,2,30643,61286,7958,Karan,Offline
ORD00014,14-02-2025,West,Tablet,Electronics,7,49995,349965,51611,Neha,Online
ORD00015,28-01-2025,North,Pen,Stationery,1,53585,53585,6926,Simran,Online
ORD00016,03-03-2025,East,Phone,Electronics,3,12553,37659,6421,Neha,Offline
ORD00017,12-02-2025,East,Pen,Stationery,2,18693,37386,6939,Arjun,Offline
ORD00018,15-03-2025,West,Laptop,Electronics,14,8743,122402,16075,Arjun,Online
ORD00019,01-04-2025,West,Phone,Electronics,10,951,9510,1612,Amit,Offline
ORD00020,13-02-2025,South,Desk,Furniture,7,9874,69118,11418,Riya,Online
ORD00021,17-11-2025,South,Notebook,Stationery,4,48897,195588,20911,Karan,Online
ORD00022,06-09-2025,West,Cabinet,Furniture,11,55626,611886,56475,Karan,Online
ORD00023,01-06-2025,North,Pen,Stationery,14,53414,747796,79195,Neha,Online
ORD00024,31-12-2025,West,Desk,Furniture,14,43588,610232,70070,Amit,Online
ORD00025,03-04-2025,East,Cabinet,Furniture,1,35085,35085,3757,Amit,Online
ORD00026,12-06-2025,North,Phone,Electronics,12,10017,120204,11241,Neha,Online
ORD00027,08-05-2025,South,Tablet,Electronics,6,38621,231726,29931,Riya,Online
ORD00028,31-05-2025,West,Pen,Stationery,13,18022,234286,44988,Karan,Offline
ORD00029,13-05-2025,North,Pen,Stationery,1,1388,1388,159,Arjun,Offline
ORD00030,30-05-2025,East,Desk,Furniture,15,44141,662115,54211,Neha,Online
ORD00031,08-09-2025,North,Tablet,Electronics,10,34071,340710,66185,Arjun,Offline
ORD00032,12-07-2025,West,Notebook,Stationery,15,64280,964200,183124,Amit,Offline
ORD00033,08-05-2025,South,Tablet,Electronics,2,38931,77862,15730,Riya,Offline
ORD00034,15-06-2025,West,Cabinet,Furniture,3,59591,178773,26580,Simran,Offline
ORD00035,15-01-2025,South,Printer,Electronics,3,46055,138165,26351,Amit,Offline
ORD00036,05-07-2025,North,Cabinet,Furniture,4,39086,156344,31461,Karan,Online
ORD00037,01-03-2025,West,Notebook,Stationery,4,69899,279596,56337,Karan,Offline
ORD00038,29-05-2025,South,Phone,Electronics,3,16985,50955,10142,Amit,Online
ORD00039,09-08-2025,East,Marker,Stationery,1,5892,5892,686,Riya,Offline
ORD00040,05-08-2025,West,Tablet,Electronics,3,7096,21288,3067,Neha,Online
ORD00041,23-05-2025,West,Laptop,Electronics,2,13589,27178,4994,Karan,Online
ORD00042,15-08-2025,East,Notebook,Stationery,5,27586,137930,20819,Arjun,Online
ORD00043,16-12-2025,South,Marker,Stationery,13,24683,320879,37610,Arjun,Online
ORD00044,22-04-2025,North,Cabinet,Furniture,9,13673,123057,14617,Arjun,Online
ORD00045,16-11-2025,West,Phone,Electronics,7,27422,191954,32436,Arjun,Online
ORD00046,13-02-2025,South,Notebook,Stationery,12,64361,772332,151018,Riya,Offline
ORD00047,21-08-2025,West,Tablet,Electronics,10,34471,344710,67899,Arjun,Offline
ORD00048,05-11-2025,North,Cabinet,Furniture,6,43119,258714,35145,Karan,Online
ORD00049,16-04-2025,North,Printer,Electronics,13,40484,526292,68084,Simran,Online
ORD00050,25-08-2025,North,Chair,Furniture,15,19003,285045,50209,Karan,Offline
ORD00051,08-08-2025,East,Phone,Electronics,12,10446,125352,15370,Riya,Offline
ORD00052,29-10-2025,West,Marker,Stationery,13,47835,621855,61917,Neha,Online
ORD00053,14-07-2025,East,Desk,Furniture,4,50537,202148,39670,Karan,Offline
ORD00054,26-12-2025,North,Marker,Stationery,3,50590,151770,13244,Amit,Offline
ORD00055,22-08-2025,West,Marker,Stationery,3,16108,48324,9845,Karan,Online
ORD00056,28-01-2025,West,Phone,Electronics,2,27680,55360,7659,Amit,Offline
ORD00057,06-03-2025,South,Chair,Furniture,10,57983,579830,120502,Arjun,Offline
ORD00058,16-04-2025,North,Printer,Electronics,5,27211,136055,28714,Simran,Offline
ORD00059,24-03-2025,South,Cabinet,Furniture,5,8160,40800,4055,Riya,Offline
ORD00060,04-06-2025,South,Notebook,Stationery,6,42155,252930,48754,Riya,Online
ORD00061,20-12-2025,South,Printer,Electronics,7,49240,344680,40358,Karan,Online
ORD00062,07-07-2025,West,Pen,Stationery,13,38586,501618,97141,Neha,Offline
ORD00063,26-01-2025,East,Notebook,Stationery,4,34742,138968,30476,Karan,Online
ORD00064,05-01-2025,East,Marker,Stationery,10,67924,679240,55753,Riya,Online
ORD00065,20-02-2025,South,Tablet,Electronics,9,37242,335178,46037,Amit,Online
ORD00066,18-12-2025,South,Notebook,Stationery,8,14802,118416,23704,Karan,Offline
ORD00067,12-03-2025,North,Marker,Stationery,14,3038,42532,9293,Simran,Online
ORD00068,16-01-2025,East,Desk,Furniture,1,22829,22829,4825,Arjun,Online
ORD00069,17-09-2025,South,Tablet,Electronics,12,6090,73080,9800,Simran,Offline
ORD00070,20-11-2025,North,Phone,Electronics,1,62992,62992,10210,Arjun,Online
ORD00071,10-10-2025,South,Marker,Stationery,2,783,1566,126,Karan,Offline
ORD00072,02-03-2025,South,Notebook,Stationery,2,49995,99990,19901,Amit,Online
ORD00073,31-01-2025,North,Phone,Electronics,7,33424,233968,47646,Simran,Offline
ORD00074,24-08-2025,East,Marker,Stationery,6,41338,248028,24462,Riya,Offline
ORD00075,21-01-2025,North,Desk,Furniture,11,9424,103664,17957,Amit,Online
ORD00076,23-05-2025,South,Notebook,Stationery,8,20663,165304,25108,Amit,Offline
ORD00077,06-06-2025,North,Notebook,Stationery,10,38975,389750,37332,Arjun,Offline
ORD00078,25-01-2025,East,Laptop,Electronics,2,45737,91474,17805,Neha,Online
ORD00079,22-10-2025,North,Cabinet,Furniture,4,67558,270232,27473,Amit,Offline
ORD00080,26-02-2025,West,Phone,Electronics,11,61478,676258,70145,Karan,Online
ORD00081,19-09-2025,North,Printer,Electronics,2,59099,118198,18101,Amit,Offline
ORD00082,11-03-2025,North,Marker,Stationery,9,9220,82980,11770,Amit,Offline
ORD00083,29-12-2025,East,Phone,Electronics,13,3307,42991,9173,Riya,Offline
ORD00084,03-06-2025,South,Chair,Furniture,8,25665,205320,27290,Simran,Offline
ORD00085,08-12-2025,East,Phone,Electronics,5,22044,110220,10220,Amit,Offline
ORD00086,23-09-2025,South,Chair,Furniture,1,66628,66628,14255,Riya,Offline
ORD00087,06-10-2025,North,Marker,Stationery,10,2954,29540,4565,Amit,Online
ORD00088,03-04-2025,West,Printer,Electronics,12,43897,526764,55075,Riya,Online
ORD00089,28-07-2025,East,Tablet,Electronics,14,42063,588882,88106,Karan,Online
ORD00090,01-11-2025,South,Notebook,Stationery,5,48027,240135,28731,Riya,Offline
ORD00091,03-01-2025,East,Tablet,Electronics,3,24395,73185,12722,Karan,Offline
ORD00092,28-08-2025,North,Notebook,Stationery,15,11654,174810,25507,Amit,Offline
ORD00093,11-10-2025,South,Marker,Stationery,14,60815,851410,152208,Neha,Online
ORD00094,19-06-2025,West,Desk,Furniture,9,35475,319275,54922,Riya,Online
ORD00095,28-07-2025,East,Pen,Stationery,10,9968,99680,14274,Amit,Online
ORD00096,13-03-2025,South,Marker,Stationery,11,44688,491568,69970,Amit,Online
ORD00097,05-04-2025,North,Notebook,Stationery,7,22199,155393,32709,Arjun,Offline
ORD00098,15-10-2025,West,Chair,Furniture,5,13532,67660,10061,Arjun,Offline
ORD00099,29-07-2025,East,Tablet,Electronics,2,34922,69844,7234,Amit,Offline
ORD00100,10-01-2025,North,Tablet,Electronics,4,23487,93948,14936,Neha,Online
ORD00101,03-09-2025,West,Marker,Stationery,4,28155,112620,14777,Neha,Online
ORD00102,07-01-2025,West,Notebook,Stationery,4,21605,86420,12514,Amit,Offline
ORD00103,28-02-2025,South,Pen,Stationery,15,43937,659055,96255,Neha,Online
ORD00104,18-10-2025,East,Pen,Stationery,2,47405,94810,8213,Karan,Online
ORD00105,09-12-2025,North,Laptop,Electronics,12,16675,200100,17418,Karan,Online
ORD00106,15-12-2025,South,Desk,Furniture,14,8560,119840,21527,Amit,Offline
ORD00107,21-01-2025,West,Notebook,Stationery,8,34427,275416,50553,Amit,Offline
ORD00108,10-11-2025,East,Pen,Stationery,13,36908,479804,60787,Simran,Online
ORD00109,23-07-2025,East,Cabinet,Furniture,9,44153,397377,32655,Simran,Online
ORD00110,28-07-2025,West,Marker,Stationery,15,50356,755340,119067,Simran,Online
ORD00111,28-06-2025,West,Pen,Stationery,15,11338,170070,36755,Simran,Online
ORD00112,08-06-2025,West,Notebook,Stationery,12,59494,713928,98556,Amit,Offline
ORD00113,29-10-2025,West,Laptop,Electronics,11,13887,152757,20430,Amit,Online
ORD00114,08-07-2025,South,Printer,Electronics,7,63167,442169,61684,Amit,Offline
ORD00115,09-05-2025,South,Cabinet,Furniture,4,28231,112924,17921,Simran,Online
ORD00116,09-12-2025,West,Tablet,Electronics,1,39231,39231,6966,Karan,Offline
ORD00117,24-10-2025,South,Marker,Stationery,10,38395,383950,58076,Neha,Offline
ORD00118,08-09-2025,South,Tablet,Electronics,10,23146,231460,25633,Riya,Offline
ORD00119,01-07-2025,North,Cabinet,Furniture,13,2569,33397,4214,Karan,Offline
ORD00120,12-02-2025,North,Marker,Stationery,3,13807,41421,8795,Amit,Online
ORD00121,04-01-2025,East,Printer,Electronics,11,56157,617727,117000,Simran,Offline
ORD00122,09-03-2025,North,Notebook,Stationery,1,16218,16218,3267,Amit,Offline
ORD00123,25-02-2025,West,Notebook,Stationery,12,3591,43092,3856,Simran,Online
ORD00124,30-08-2025,North,Notebook,Stationery,8,31649,253192,54307,Karan,Offline
ORD00125,12-05-2025,East,Desk,Furniture,5,49474,247370,53283,Riya,Offline
ORD00126,04-01-2025,West,Cabinet,Furniture,12,8897,106764,14819,Simran,Online
