Date,Region,City,Salesperson,Category,Product,Units Sold,Unit Price,Revenue,Payment Mode
01-01-2026,North,Delhi,Amit,Electronics,Mobile,5,15000,75000,UPI
01-01-2026,West,Mumbai,Riya,Clothing,T-Shirt,20,500,10000,Cash
02-01-2026,South,Bangalore,Arjun,Electronics,Laptop,3,55000,165000,Card
02-01-2026,East,Kolkata,Neha,Furniture,Chair,10,2000,20000,UPI
03-01-2026,North,Delhi,Amit,Electronics,Tablet,4,20000,80000,Card
03-01-2026,West,Pune,Riya,Clothing,Jeans,8,1500,12000,UPI
04-01-2026,South,Chennai,Arjun,Furniture,Table,2,7000,14000,Cash
04-01-2026,East,Kolkata,Neha,Electronics,Mobile,6,14000,84000,Card
05-01-2026,North,Jaipur,Amit,Clothing,Jacket,5,2500,12500,UPI
05-01-2026,West,Mumbai,Riya,Electronics,Laptop,2,60000,120000,Card
06-01-2026,South,Bangalore,Arjun,Clothing,T-Shirt,15,600,9000,Cash
06-01-2026,East,Guwahati,Neha,Furniture,Sofa,1,25000,25000,UPI
07-01-2026,North,Delhi,Amit,Furniture,Chair,12,1800,21600,Card
07-01-2026,West,Surat,Riya,Electronics,Tablet,3,22000,66000,UPI
08-01-2026,South,Hyderabad,Arjun,Electronics,Mobile,7,15500,108500,Card
08-01-2026,East,Patna,Neha,Clothing,Jeans,10,1400,14000,Cash
09-01-2026,North,Chandigarh,Amit,Electronics,Laptop,1,58000,58000,UPI
09-01-2026,West,Mumbai,Riya,Furniture,Table,4,7500,30000,Card
10-01-2026,South,Chennai,Arjun,Clothing,Jacket,6,2600,15600,UPI
10-01-2026,East,Kolkata,Neha,Electronics,Mobile,8,14500,116000,Card
11-01-2026,North,Delhi,Amit,Electronics,Mobile,9,15000,135000,Cash
11-01-2026,West,Pune,Riya,Clothing,T-Shirt,25,550,13750,UPI
12-01-2026,South,Bangalore,Arjun,Furniture,Chair,5,2100,10500,Card
12-01-2026,East,Guwahati,Neha,Electronics,Laptop,2,57000,114000,UPI
13-01-2026,North,Jaipur,Amit,Clothing,Jeans,7,1600,11200,Card
13-01-2026,West,Surat,Riya,Electronics,Mobile,4,14800,59200,Cash
14-01-2026,South,Hyderabad,Arjun,Furniture,Sofa,2,27000,54000,Card
14-01-2026,East,Patna,Neha,Clothing,T-Shirt,18,500,9000,UPI
15-01-2026,North,Delhi,Amit,Electronics,Tablet,5,21000,105000,Card
15-01-2026,West,Mumbai,Riya,Furniture,Chair,6,1900,11400,Cash
